Date,Current_Position,Action,Switch_To,Reason,Outcome
2026-05-22,D,SWITCH,CPRT,Best candidate CPRT scores 0.823 vs current D at 0.632 (edge Δ=+0.191 exceeds threshold 0.18),
2026-05-25,CPRT,SWITCH,HPQ,Best candidate HPQ scores 0.840 vs current CPRT at 0.581 (edge Δ=+0.259 exceeds threshold 0.18),
2026-05-27,CPRT,SWITCH,BBY,Best candidate BBY scores 0.742 vs current CPRT at 0.479 (edge Δ=+0.263 exceeds threshold 0.18),
2026-05-28,BBY,HOLD,,Current BBY scores 0.735; best candidate UAL scores 0.712 (Δ=-0.023 ≤ threshold 0.18 — hold advantage),
2026-05-29,BBY,HOLD,,Current BBY scores 0.786; best candidate DLTR scores 0.789 (Δ=+0.003 ≤ threshold 0.18 — hold advantage),
2026-05-30,BBY,SWITCH,HPE,Best candidate HPE scores 0.799 vs current BBY at 0.615 (edge Δ=+0.184 exceeds threshold 0.18),
2026-06-01,HPE,HOLD,,Current HPE scores 0.781; best candidate MGM scores 0.776 (Δ=-0.005 ≤ threshold 0.18 — hold advantage),
2026-06-02,HPE,HOLD,,Current HPE scores 0.766; best candidate AVGO scores 0.780 (Δ=+0.014 ≤ threshold 0.18 — hold advantage),
2026-06-03,HPE,HOLD,,Current HPE scores 0.537; best candidate MDT scores 0.708 (Δ=+0.171 ≤ threshold 0.18 — hold advantage),
2026-06-04,MDT,HOLD,,Current MDT scores 0.683; best candidate PCAR scores 0.692 (Δ=+0.009 ≤ threshold 0.18 — hold advantage),
2026-06-05,MDT,HOLD,,Current MDT scores 0.583; best candidate COO scores 0.708 (Δ=+0.125 ≤ threshold 0.18 — hold advantage),
2026-06-08,MDT,HOLD,,Current MDT scores 0.537; best candidate CNC scores 0.679 (Δ=+0.142 ≤ threshold 0.18 — hold advantage),
2026-06-09,CASH,SWITCH,LEN,Best candidate LEN scores 0.688 vs current CASH at 0.500 (edge Δ=+0.188 exceeds threshold 0.18),
2026-06-10,LEN,HOLD,,Current LEN scores 0.518; best candidate MMM scores 0.665 (Δ=+0.147 ≤ threshold 0.18 — hold advantage),
2026-06-11,LEN,HOLD,,Current LEN scores 0.597; best candidate KIM scores 0.722 (Δ=+0.125 ≤ threshold 0.18 — hold advantage),
2026-06-12,LEN,HOLD,,Current LEN scores 0.540; best candidate BAC scores 0.634 (Δ=+0.094 ≤ threshold 0.18 — hold advantage),
2026-06-15,KIM,HOLD,,Current KIM scores 0.671; best candidate CVS scores 0.720 (Δ=+0.049 ≤ threshold 0.18 — hold advantage),
2026-06-15,KIM,HOLD,,Current KIM scores 0.552; best candidate COF scores 0.692 (Δ=+0.140 ≤ threshold 0.18 — hold advantage),
2026-06-16,KIM,SWITCH,MRNA,Best candidate MRNA scores 0.708 vs current KIM at 0.525 (edge Δ=+0.183 exceeds threshold 0.18),
2026-06-17,MRNA,HOLD,,Current MRNA scores 0.717; best candidate HOOD scores 0.738 (Δ=+0.021 ≤ threshold 0.18 — hold advantage),
2026-06-18,MRNA,HOLD,,Current MRNA scores 0.720; best candidate TTWO scores 0.745 (Δ=+0.025 ≤ threshold 0.18 — hold advantage),
2026-06-22,MRNA,SWITCH,ABBV,Best candidate ABBV scores 0.690 vs current MRNA at 0.437 (edge Δ=+0.253 exceeds threshold 0.18),
2026-06-23,MU,SWITCH,PGR,Best candidate PGR scores 0.640 vs current MU at 0.412 (edge Δ=+0.228 exceeds threshold 0.18),
2026-06-24,PGR,HOLD,,Current PGR scores 0.714; best candidate TRV scores 0.754 (Δ=+0.040 ≤ threshold 0.18 — hold advantage),
2026-06-25,PGR,SWITCH,TECH,Best candidate TECH scores 0.768 vs current PGR at 0.518 (edge Δ=+0.250 exceeds threshold 0.18),
2026-06-26,TECH,HOLD,,Current TECH scores 0.611; best candidate MKC scores 0.725 (Δ=+0.114 ≤ threshold 0.18 — hold advantage),
2026-06-29,MKC,HOLD,,Current MKC scores 0.693; best candidate TROW scores 0.727 (Δ=+0.034 ≤ threshold 0.18 — hold advantage),
2026-06-30,TROW,HOLD,,Current TROW scores 0.578; best candidate AMD scores 0.664 (Δ=+0.086 ≤ threshold 0.18 — hold advantage),
2026-07-01,TROW,HOLD,,Current TROW scores 0.659; best candidate GIS scores 0.789 (Δ=+0.130 ≤ threshold 0.18 — hold advantage),
2026-07-02,GIS,HOLD,,Current GIS scores 0.497; best candidate MRNA scores 0.671 (Δ=+0.174 ≤ threshold 0.18 — hold advantage),
2026-07-06,MRNA,HOLD,,Current MRNA scores 0.643; best candidate BA scores 0.680 (Δ=+0.037 ≤ threshold 0.18 — hold advantage),
2026-07-07,MRNA,SWITCH,CBRE,Best candidate CBRE scores 0.691 vs current MRNA at 0.469 (edge Δ=+0.222 exceeds threshold 0.18),
2026-07-23,CASH,SWITCH,TMO,Best candidate TMO scores 0.784 vs current CASH at 0.500 (edge Δ=+0.284 exceeds threshold 0.18),
2026-07-27,TMO,SWITCH,IP,Best candidate IP scores 0.703 vs current TMO at 0.490 (edge Δ=+0.213 exceeds threshold 0.18),
2026-07-28,IP,HOLD,,Current IP scores 0.690; best candidate KO scores 0.713 (Δ=+0.023 ≤ threshold 0.18 — hold advantage),
2026-07-29,IP,HOLD,,Current IP scores 0.626; best candidate GEHC scores 0.772 (Δ=+0.146 ≤ threshold 0.18 — hold advantage),
2026-07-30,IP,SWITCH,CMG,Best candidate CMG scores 0.729 vs current IP at 0.541 (edge Δ=+0.188 exceeds threshold 0.18),
2026-07-31,CASH,SWITCH,AMZN,Best candidate AMZN scores 0.777 vs current CASH at 0.500 (edge Δ=+0.277 exceeds threshold 0.18),
2026-08-03,AMZN,HOLD,,Current AMZN scores 0.696; best candidate EA scores 0.742 (Δ=+0.046 ≤ threshold 0.18 — hold advantage),
2026-08-04,AMZN,HOLD,,Current AMZN scores 0.718; best candidate EMR scores 0.786 (Δ=+0.068 ≤ threshold 0.18 — hold advantage),
2026-08-04,AMZN,HOLD,,Current AMZN scores 0.752; best candidate EMR scores 0.846 (Δ=+0.094 ≤ threshold 0.099 — hold advantage),
2026-08-04,AMZN,HOLD,,Current AMZN scores 0.750; best candidate EMR scores 0.846 (Δ=+0.096 ≤ threshold 0.099 — hold advantage),
2026-08-05,AMZN,HOLD,,Edge to SHOP (Δ=+0.323) on scan day 1/2 — awaiting confirmation,
2026-08-06,AMZN,SWITCH,DIS,Best candidate DIS scores 0.862 vs current AMZN at 0.527 (edge Δ=+0.335 exceeds threshold 0.099),
2026-08-06,AMZN,HOLD,,Edge to DIS (Δ=+0.427) on scan day 1/2 — awaiting confirmation,
2026-08-06,AMZN,HOLD,,Edge to DIS (Δ=+0.427) on scan day 1/2 — awaiting confirmation,
2026-08-07,DIS,HOLD,,"Edge to ABNB exists, but DIS held only 0/2 scan days — min-hold enforced",
